Time,Pods,CPU_Current,CPU_Target,Min_Replicas,Current_Replicas,Max_Replicas
1s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,30%/60%,,memory:,58%/70%,,,1,,,,,15,,,,6,,,,,13m
2s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,26%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,13m
3s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,26%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,13m
4s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,26%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,13m
5s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,26%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,13m
6s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,26%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,13m
7s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,26%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,13m
8s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,26%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,13m
9s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,26%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,13m
10s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,26%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,13m
11s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,26%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,13m
12s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,26%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
13s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,26%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
14s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,26%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
15s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,52%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
16s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,52%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
17s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,52%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
18s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,52%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
19s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,52%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
20s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,52%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
21s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,52%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
22s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,52%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
23s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,52%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
24s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,52%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
25s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,52%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
26s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,52%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
27s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,52%/60%,,memory:,58%/70%,,,1,,,,,15,,,,5,,,,,14m
28s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,436%/60%,,memory:,71%/70%,,,1,,,,,15,,,,5,,,,,14m
29s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,436%/60%,,memory:,71%/70%,,,1,,,,,15,,,,5,,,,,14m
30s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,436%/60%,,memory:,71%/70%,,,1,,,,,15,,,,5,,,,,14m
31s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,436%/60%,,memory:,71%/70%,,,1,,,,,15,,,,5,,,,,14m
32s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,436%/60%,,memory:,71%/70%,,,1,,,,,15,,,,5,,,,,14m
33s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,436%/60%,,memory:,71%/70%,,,1,,,,,15,,,,5,,,,,14m
34s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,436%/60%,,memory:,71%/70%,,,1,,,,,15,,,,5,,,,,14m
35s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,436%/60%,,memory:,71%/70%,,,1,,,,,15,,,,5,,,,,14m
36s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,436%/60%,,memory:,71%/70%,,,1,,,,,15,,,,5,,,,,14m
37s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,436%/60%,,memory:,71%/70%,,,1,,,,,15,,,,5,,,,,14m
38s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,436%/60%,,memory:,71%/70%,,,1,,,,,15,,,,5,,,,,14m
39s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,436%/60%,,memory:,71%/70%,,,1,,,,,15,,,,5,,,,,14m
40s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,436%/60%,,memory:,71%/70%,,,1,,,,,15,,,,5,,,,,14m
41s,5,ping-server-hpa,,,Deployment/ping-server,,,cpu:,436%/60%,,memory:,71%/70%,,,1,,,,,15,,,,5,,,,,14m
42s,10,ping-server-hpa,,,Deployment/ping-server,,,cpu:,496%/60%,,memory:,75%/70%,,,1,,,,,15,,,,5,,,,,14m
43s,10,ping-server-hpa,,,Deployment/ping-server,,,cpu:,496%/60%,,memory:,75%/70%,,,1,,,,,15,,,,5,,,,,14m
44s,10,ping-server-hpa,,,Deployment/ping-server,,,cpu:,496%/60%,,memory:,75%/70%,,,1,,,,,15,,,,5,,,,,14m
45s,10,ping-server-hpa,,,Deployment/ping-server,,,cpu:,496%/60%,,memory:,75%/70%,,,1,,,,,15,,,,5,,,,,14m
46s,10,ping-server-hpa,,,Deployment/ping-server,,,cpu:,496%/60%,,memory:,75%/70%,,,1,,,,,15,,,,5,,,,,14m
47s,10,ping-server-hpa,,,Deployment/ping-server,,,cpu:,496%/60%,,memory:,75%/70%,,,1,,,,,15,,,,5,,,,,14m
48s,10,ping-server-hpa,,,Deployment/ping-server,,,cpu:,496%/60%,,memory:,75%/70%,,,1,,,,,15,,,,5,,,,,14m
49s,10,ping-server-hpa,,,Deployment/ping-server,,,cpu:,496%/60%,,memory:,75%/70%,,,1,,,,,15,,,,5,,,,,14m
50s,10,ping-server-hpa,,,Deployment/ping-server,,,cpu:,496%/60%,,memory:,75%/70%,,,1,,,,,15,,,,5,,,,,14m
51s,10,ping-server-hpa,,,Deployment/ping-server,,,cpu:,496%/60%,,memory:,75%/70%,,,1,,,,,15,,,,5,,,,,14m
52s,10,ping-server-hpa,,,Deployment/ping-server,,,cpu:,496%/60%,,memory:,75%/70%,,,1,,,,,15,,,,5,,,,,14m
53s,10,ping-server-hpa,,,Deployment/ping-server,,,cpu:,496%/60%,,memory:,75%/70%,,,1,,,,,15,,,,5,,,,,14m
54s,10,ping-server-hpa,,,Deployment/ping-server,,,cpu:,496%/60%,,memory:,75%/70%,,,1,,,,,15,,,,5,,,,,14m
55s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,382%/60%,,memory:,68%/70%,,,1,,,,,15,,,,10,,,,14m
56s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,382%/60%,,memory:,68%/70%,,,1,,,,,15,,,,10,,,,14m
57s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,382%/60%,,memory:,68%/70%,,,1,,,,,15,,,,10,,,,14m
58s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,382%/60%,,memory:,68%/70%,,,1,,,,,15,,,,10,,,,14m
59s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,382%/60%,,memory:,68%/70%,,,1,,,,,15,,,,10,,,,14m
60s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,382%/60%,,memory:,68%/70%,,,1,,,,,15,,,,10,,,,14m
61s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,382%/60%,,memory:,68%/70%,,,1,,,,,15,,,,10,,,,14m
62s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,382%/60%,,memory:,68%/70%,,,1,,,,,15,,,,10,,,,14m
63s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,382%/60%,,memory:,68%/70%,,,1,,,,,15,,,,10,,,,14m
64s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,382%/60%,,memory:,68%/70%,,,1,,,,,15,,,,10,,,,14m
65s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,382%/60%,,memory:,68%/70%,,,1,,,,,15,,,,10,,,,14m
66s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,382%/60%,,memory:,68%/70%,,,1,,,,,15,,,,10,,,,15m
67s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,382%/60%,,memory:,68%/70%,,,1,,,,,15,,,,10,,,,15m
68s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,382%/60%,,memory:,68%/70%,,,1,,,,,15,,,,10,,,,15m
69s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,148%/60%,,memory:,67%/70%,,,1,,,,,15,,,,15,,,,15m
70s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,148%/60%,,memory:,67%/70%,,,1,,,,,15,,,,15,,,,15m
